iter	Passed	Remaining
0	2	285
1	5	258
2	7	247
3	10	240
4	11	222
5	13	209
6	15	199
7	16	192
8	18	183
9	19	174
10	20	167
11	21	161
12	23	155
13	24	149
14	25	144
15	26	139
16	27	134
17	28	130
18	29	126
19	30	121
20	31	117
21	32	114
22	33	110
23	34	107
24	34	104
25	35	101
26	36	98
27	37	95
28	38	93
29	38	90
30	39	88
31	40	85
32	40	82
33	41	80
34	42	78
35	43	76
36	43	74
37	44	72
38	45	70
39	45	68
40	46	67
41	46	64
42	47	63
43	48	61
44	48	59
45	49	58
46	50	56
47	50	55
48	51	53
49	52	52
50	52	50
51	53	49
52	54	47
53	54	46
54	55	45
55	56	44
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	65	29
69	65	28
70	66	27
71	67	26
72	67	25
73	68	24
74	68	22
75	69	21
76	70	20
77	70	19
78	71	19
79	72	18
80	72	17
81	73	16
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
